sample,fastq_1,fastq_2,experimentalID,fraction,sample_group
NPCmutR1_Ire_S2S_A1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR1_Ire_S2S_A1_S31_L001_R1_001.fastq.gz,,NPCmutR1_Ire,S2S,MUT_NPC
NPCmutR1_Ire_S2L_B1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR1_Ire_S2L_B1_S32_L002_R1_001.fastq.gz,,NPCmutR1_Ire,S2L,MUT_NPC
NPCmutR1_Ire_S2L_B1,/mnt/storage/jonni/SAMMY_SEQ/Jonathan_08_04_25/NPCmutR1_Ire_S2L_B1_S32_L001_R1_001.fastq.gz,,NPCmutR1_Ire,S2L,MUT_NPC
WT_ESC_rep3_S4,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/WT_ESC_rep3_S4_D10_S36_L002_R1_001.fastq.gz,,WT_ESC_rep3,S4,WT_ESC
WT_ESC_rep3_S4,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/WT_ESC_rep3_S4_D10_S36_L001_R1_001.fastq.gz,,WT_ESC_rep3,S4,WT_ESC
WT_ESC_rep3_S3,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/WT_ESC_rep3_S3_C10_S35_L002_R1_001.fastq.gz,,WT_ESC_rep3,S3,WT_ESC
WT_ESC_rep3_S3,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/WT_ESC_rep3_S3_C10_S35_L001_R1_001.fastq.gz,,WT_ESC_rep3,S3,WT_ESC
WT_ESC_rep3_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/WT_ESC_rep3_S2S_A10_S33_L002_R1_001.fastq.gz,,WT_ESC_rep3,S2S,WT_ESC
WT_ESC_rep3_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/WT_ESC_rep3_S2S_A10_S33_L001_R1_001.fastq.gz,,WT_ESC_rep3,S2S,WT_ESC
WT_ESC_rep3_S2L,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/WT_ESC_rep3_S2L_B10_S34_L002_R1_001.fastq.gz,,WT_ESC_rep3,S2L,WT_ESC
WT_ESC_rep3_S2L,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/WT_ESC_rep3_S2L_B10_S34_L001_R1_001.fastq.gz,,WT_ESC_rep3,S2L,WT_ESC
MUT_ESC_rep2_S4,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep2_S4_H9_S32_L002_R1_001.fastq.gz,,MUT_ESC_rep2,S4,MUT_ESC
MUT_ESC_rep2_S4,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep2_S4_H9_S32_L001_R1_001.fastq.gz,,MUT_ESC_rep2,S4,MUT_ESC
MUT_ESC_rep2_S3,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep2_S3_G9_S31_L002_R1_001.fastq.gz,,MUT_ESC_rep2,S3,MUT_ESC
MUT_ESC_rep2_S3,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep2_S3_G9_S31_L001_R1_001.fastq.gz,,MUT_ESC_rep2,S3,MUT_ESC
MUT_ESC_rep2_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep2_S2S_E9_S29_L002_R1_001.fastq.gz,,MUT_ESC_rep2,S2S,MUT_ESC
MUT_ESC_rep2_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep2_S2S_E9_S29_L001_R1_001.fastq.gz,,MUT_ESC_rep2,S2S,MUT_ESC
MUT_ESC_rep2_S2L,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep2_S2L_F9_S30_L002_R1_001.fastq.gz,,MUT_ESC_rep2,S2L,MUT_ESC
MUT_ESC_rep2_S2L,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep2_S2L_F9_S30_L001_R1_001.fastq.gz,,MUT_ESC_rep2,S2L,MUT_ESC
MUT_ESC_rep1_S4,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep1_S4_D9_S28_L002_R1_001.fastq.gz,,MUT_ESC_rep1,S4,MUT_ESC
MUT_ESC_rep1_S4,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep1_S4_D9_S28_L001_R1_001.fastq.gz,,MUT_ESC_rep1,S4,MUT_ESC
MUT_ESC_rep1_S3,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep1_S3_C9_S27_L002_R1_001.fastq.gz,,MUT_ESC_rep1,S3,MUT_ESC
MUT_ESC_rep1_S3,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep1_S3_C9_S27_L001_R1_001.fastq.gz,,MUT_ESC_rep1,S3,MUT_ESC
MUT_ESC_rep1_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep1_S2S_A9_S25_L002_R1_001.fastq.gz,,MUT_ESC_rep1,S2S,MUT_ESC
MUT_ESC_rep1_S2S,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep1_S2S_A9_S25_L001_R1_001.fastq.gz,,MUT_ESC_rep1,S2S,MUT_ESC
MUT_ESC_rep1_S2L,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep1_S2L_B9_S26_L002_R1_001.fastq.gz,,MUT_ESC_rep1,S2L,MUT_ESC
MUT_ESC_rep1_S2L,/mnt/storage/jonni/SAMMY_SEQ/jonathan_02_07_25/MUT_ESC_rep1_S2L_B9_S26_L001_R1_001.fastq.gz,,MUT_ESC_rep1,S2L,MUT_ESC
